,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
0001.HK,长和,,53.26,45.3,,40.5,3830044500,2664214940,11.85%," 155,116,802,250 "
1985.HK,美高域,,,,,1.21,300000000,130964000,,363000000
1986.HK,彩客新能源,,0.456,,0.456,0.85,985401000,462325000,,837590850
1987.HK,BENG SOON MACH,,,,,0.14,1000000000,494400000,,140000000
2319.HK,蒙牛乳业,21,18.4492,18.978,21.8,16.98,3922514513,1676996186,11.77%," 66,604,296,431 "
1991.HK,大洋集团,,,,,0.093,1960150500,1163275010,,182293996.5
1951.HK,锦欣生殖,11,3.2567,3.328,,2.99,2757706043,1996739628,11.30%," 8,245,541,069 "
1993.HK,雅仕维,,,,,0.9,484910739,156113563,,436419665.1
1113.HK,长实集团,1,35.0375,35.325,32.2,31.8,3499778333,1813038940,11.08%," 111,292,950,989 "
1996.HK,弘阳地产,,3.5,3.5,,0.064,3338898000,938898000,53.6875,213689472
2268.HK,药明合联,14,32.1275,30.5883,30.5883,27.55,1199487334,198215456,11.03%," 33,045,876,052 "
0012.HK,恒基地产,1,24.74,27.085,23.84,24.4,4841387003,1316055558,11.00%," 118,129,842,873 "
2000.HK,晨讯科技,,0.198,0.198,,0.36,2143351300,889219300,-0.45,771606468
2001.HK,新高教集团,,2.5333,2.5333,2.5333,0.91,1542734630,497516162,1.783846154,1403888513
2002.HK,阳光纸业,,2.477,,2.477,1.7,1065144359,581457307,,1810745410
2003.HK,维信金科,,,7,,1.89,489459789,115846171,2.703703704,925079001.2
0014.HK,希慎兴业,1,13.8571,13.85,14.2,12.52,1027008223,405221238,10.62%," 12,858,142,952 "
0788.HK,中国铁塔,7,1.125,1.1275,1.16,1.02,1.76008E+11,46663856000,10.54%," 179,528,640,444 "
2008.HK,凤凰卫视,,,2.4,,1.45,499365950,132389501,0.655172414,724080627.5
6030.HK,中信证券,4,23.7725,24.367,21.7967,22.05,14820546829,1948925186,10.51%," 326,793,057,579 "
2011.HK,进腾集团,,1.519,1.519,,1.23,574497800,294482976,0.23495935,706632294
2012.HK,阳光油砂,,0.7,0.7,,0.6,243478681,73114571,0.166666667,146087208.6
1415.HK,高伟电子,5,27.6,27.6,,25.15,859305800,250649040,9.74%," 21,611,540,870 "
0384.HK,中国燃气,,7.3585,7.0629,7.1567,6.44,5437439199,1643087222,9.67%," 35,017,108,442 "
1686.HK,新意网集团,1,4.55,4.6,,4.2,2339057333,608811833,9.52%," 9,824,040,799 "
2017.HK,沧海控股,,,2.4,,0.28,618502000,167332000,7.571428571,173180560
1919.HK,中远海控,2,12.1544,11.8967,12.4,10.88,15960826685,2492965000,9.34%," 173,653,794,333 "
2019.HK,德信中国,,,3.56,,0.085,2969341000,1127405000,40.88235294,252393985
0710.HK,京东方精电,5,6.9567,6.05,,5.55,791575204,292893204,9.01%," 4,393,242,382 "
2022.HK,游莱互动,,,,,0.058,2000000000,1705855099,,116000000
2023.HK,中国绿岛科技,,1.026,1.026,1.026,0.92,491800000,241156000,0.115217391,452456000
2025.HK,瑞丰动力,,,,,1.3,800000000,227362000,,1040000000
2028.HK,映美控股,,0.108,,,0.055,612881500,136653967,,33708482.5
2030.HK,卡宾,,,,,1.3,668593000,247709791,,869170900
2031.HK,澳至尊,,,,,0.217,762000000,234905000,,165354000
2033.HK,时计宝,,0.202,0.202,0.202,0.335,2058068000,300335000,-0.397014925,689452780
0293.HK,国泰航空,3,10.3417,10.575,12,9.71,6438146624,1735150578,8.91%," 62,514,403,719 "
1099.HK,国药控股,4,23.9667,22.1,,20.3,3120656191,1180233866,8.87%," 63,349,320,677 "
2048.HK,易居企业控股,,0.4,0.4,0.4,0.173,1749059530,933659834,1.312138728,302587298.7
2051.HK,51信用卡,,5,5,5,0.227,1629984225,813871092,21.02643172,370006419.1
9896.HK,名创优品,23,43.2892,42.0811,46.38,38.7,1256280037,469741516,8.74%," 48,618,037,432 "
2060.HK,浦江国际,,,4.17,,0.193,808880000,83828936,20.60621762,156113840
2356.HK,大新银行集团,,7.8,7.8,,7.18,1405752132,359086632,8.64%," 10,093,300,308 "
2607.HK,上海医药,2,15.01,14.098,13.99,13,3704759476,690460004,8.45%," 48,161,873,188 "
0552.HK,中国通信服务,5,5.1575,4.4,,4.08,6926018400,2391420240,7.84%," 28,258,155,072 "
2078.HK,荣阳实业,,0.066,0.066,0.066,0.113,1200000000,300000000,-0.415929204,135600000
2080.HK,奥克斯国际,,,,,0.236,492984000,122634000,,116344224
2086.HK,高维科技,,0.599,0.599,,0.4,319564892,80675223,0.4975,127825956.8
2088.HK,西王置业,,,,,0.044,1408784198,425784610,,61986504.71
1995.HK,永升服务,2,2.2,2.2,,2.04,1728554000,962491750,7.84%," 3,526,250,160 "
9922.HK,九毛九,19,3.1747,3.5975,4,3.34,1410554700,718494169,7.71%," 4,711,252,698 "
1651.HK,津上机床中国,,13.2,13.2,13.2,12.26,380554000,87405000,7.67%," 4,665,592,040 "
2100.HK,百奥家庭互动,,0.189,,0.189,0.246,2867174000,1083140837,,705324804
2101.HK,福禄控股,,,,,1.95,408640887,167016721,,796849729.7
2102.HK,德利机械,,,,,0.129,1000000000,250000000,,129000000
9911.HK,赤子城科技,5,4.475,3.9367,,3.66,1191216000,699428632,7.56%," 4,359,850,560 "
2107.HK,第一服务控股,,,,,0.29,1264000000,399647000,,366560000
2108.HK,K2 F&B,,,,,0.22,800000000,143464000,,176000000
2110.HK,天成控股,,,,,0.129,300000000,235326000,,38700000
0215.HK,和记电讯香港,,1.16,1,,0.93,4819096208,1307275304,7.53%," 4,481,759,473 "
2112.HK,恩典生命科技,,,1.39,,0.129,1500000000,307884000,9.775193798,193500000
2113.HK,世纪集团国际,,,,,0.038,804750000,579420000,,30580500
2115.HK,捷芯隆,,,,,0.239,1400000000,1060041450,,334600000
2116.HK,江苏创新,,,,,0.38,480000000,120000000,,182400000
2117.HK,大唐集团控股,,,,,0.5,1363544000,341649000,,681772000
2119.HK,捷荣国际控股,,0.457,0.457,,0.56,720731512,206064200,-0.183928571,403609646.7
2120.HK,康宁医院,,5.768,,5.768,12.52,72670000,15305204,,909828400
0315.HK,数码通电讯,,4.3,4.3,,4.01,1102056101,339059429,7.23%," 4,419,244,965 "
2122.HK,凯知乐国际,,,,,0.036,800000000,360775477,,28800000
2125.HK,稻草熊娱乐,,3.21,3.21,3.21,0.58,706041400,91827000,4.534482759,409504012
2126.HK,药明巨诺-B,1,2.4,2.4,,1.3,415436268,344836048,0.846153846,540067148.4
2127.HK,汇森股份,,,3.28,,0.028,3682908000,1023338000,116.1428571,103121424
1341.HK,昊天国际建投,,0.589,0.589,,0.55,7621152835,2539828052,7.09%," 4,191,634,059 "
2129.HK,LEGION CONSO,,0.074,,,0.101,1250000000,312500000,,126250000
2130.HK,嘉泓物流,1,4.8,,,3.37,300489000,105402575,,1012647930
2131.HK,云想科技,,,,,0.48,795658000,240913872,,381915840
2132.HK,誉燊丰控股,,,,,0.176,1600000000,400000000,,281600000
2135.HK,瑞丽医美,,,,,0.117,557077333,215135402,,65178047.96
2136.HK,利福中国,,1.417,,,0.75,1464448500,367408208,,1098336375
2137.HK,腾盛博药-B,,8.8,8.8,8.8,0.97,731194056,567559746,8.072164948,709258234.3
2138.HK,医思健康,,2.1,2.1,,0.69,1185211265,472590655,2.043478261,817795772.8
2518.HK,汽车之家-S,5,59.62,55.6067,59,52.05,509387600,258917264,6.83%," 26,513,624,580 "
2142.HK,和铂医药-B,,,,,1.17,768876410,544973150,,899585399.7
3660.HK,奇富科技-S,6,160.0225,160.0225,160.0225,150,326552504,226881352,6.68%," 48,982,875,600 "
2146.HK,荣万家,,,,,1.28,376000000,71081500,,481280000
2147.HK,正味集团,,,,,0.041,960000000,288886197,,39360000
2386.HK,中石化炼化工程,3,6.6533,6.1,6.1,5.72,4399599000,1451343500,6.64%," 25,165,706,280 "
2149.HK,贝克微,1,49.8,49.8,,28.95,60000000,12740000,0.720207254,1737000000
2150.HK,奈雪的茶,6,1.585,1.4433,,1.45,1707588147,361307860,-0.00462069,2476002813
2152.HK,苏新服务,,,,,6.6,101047000,12631000,,666910200
2153.HK,达丰设备,,,,,1.25,1166871250,248600863,,1458589063
0066.HK,港铁公司,1,28.5286,29.05,30,27.25,6224823171,1583023350,6.61%," 169,626,431,410 "
0081.HK,中国海外宏洋集团,8,2.2538,1.96,2.1,1.84,3559374732,1282660072,6.52%," 6,549,249,507 "
2322.HK,香港潮商集团,,0.947,0.947,0.947,0.89,4120600000,2696420860,6.40%," 3,667,334,000 "
1405.HK,达势股份,13,79.61,82.61,,77.95,130481963,68873723,5.98%," 10,171,069,016 "
2159.HK,麦迪卫康,,,,,0.395,200000000,71481000,,79000000
2160.HK,心通医疗-B,1,0.9,0.9,,0.7,2412592839,1118144939,0.285714286,1688814987
2161.HK,健倍苗苗,,,,,1.77,822000000,195836654,,1454940000
3933.HK,联邦制药,6,11.2317,11.2,,10.58,1817026508,982776508,5.86%," 19,224,140,455 "
2163.HK,远大住工,1,1.2,1.2,,0.93,487639400,149382800,0.290322581,453504642
2165.HK,领悦服务集团,,,,,1.33,285685000,49591000,,379961050
2166.HK,芯智控股,,,,,1.61,488681030,136181030,,786776458.3
2167.HK,天润云,,,,,2.2,174000400,61624628,,382800880
2168.HK,佳兆业美好,,,,42.945,1.6,154110000,50580000,,246576000
6066.HK,中信建投证券,1,10.5333,11.05,10.7,10.44,7756694797,1184117000,5.84%," 80,979,893,681 "
2170.HK,贝康医疗-B,,,7,7,2.97,273526000,82713835,1.356902357,812372220
3808.HK,中国重汽,14,25.1946,22.8,22,21.55,2760993339,662638400,5.80%," 59,499,406,455 "
9979.HK,绿城管理控股,11,4.5869,3.18,,3.01,2010000000,577340000,5.65%," 6,050,100,000 "
2175.HK,中国通才教育,,,,,1.29,505517000,130517000,,652116930
2176.HK,赛迪顾问,,,,,0.84,700000000,209000000,,588000000
2177.HK,优趣汇控股,,,,,1.31,165894700,44237900,,217322057
2178.HK,百勤油服,,,0.75,,0.063,1726674682,490817435,10.9047619,108780505
2888.HK,渣打集团,4,98.787,101.9025,102.0525,96.55,2437047924,1856044122,5.54%," 235,296,977,062 "
2180.HK,万宝盛华,,,,,4.29,207505000,35659099,,890196450
2181.HK,迈博药业-B,,,,,0.33,4124080000,1897080000,,1360946400
2182.HK,天长集团,,,,,0.355,620000000,236053000,,220100000
2185.HK,百心安-B,,,,,1.55,243937000,87519116,,378102350
2382.HK,舜宇光学科技,20,196.7863,66.3525,70.7067,62.95,1094804800,705712873,5.41%," 68,917,962,160 "
2187.HK,智欣集团控股,,,,,0.69,748000000,351725200,,516120000
2188.HK,泰坦能源技术,,,1.36,,0.31,1492026000,364307551,3.387096774,462528060
2189.HK,嘉涛(香港)控股,,,,,0.52,1000000000,305798000,,520000000
0008.HK,电讯盈科,,4.3,4.45,,4.24,7741063374,5986108295,4.95%," 32,822,108,706 "
2191.HK,顺丰房托,,4.71,4.71,,3,815892895,395846000,0.57,2447678685
0257.HK,光大环境,10,4.0817,3.683,,3.51,6142975292,3132137377,4.93%," 21,561,843,275 "
2193.HK,万景控股,,,,,0.225,419818000,119446000,,94459050
2195.HK,盈汇企业控股,,,,,0.065,1174603175,499603175,,76349206.38
6865.HK,福莱特玻璃,7,15.47,14.5322,14.9675,13.86,2342919542,448028107,4.85%," 32,472,864,852 "
2197.HK,三叶草生物-B,,3.95,,,0.285,1297057929,668527448,,369661509.8
2198.HK,中国三江化工,,,6.05,6.05,1.7,1190000000,632326000,2.558823529,2023000000
2199.HK,维珍妮,,3,,,2.08,1224250000,190751720,,2546440000
1112.HK,H&H国际控股,4,10.448,10,,9.61,645561354,179901538,4.06%," 6,203,844,612 "
2203.HK,脑洞科技,,,,,0.211,800000000,200342000,,168800000
2205.HK,康桥悦生活,,,,,0.69,700000000,201250000,,483000000
2207.HK,融信服务,,,,,0.56,508104000,133104000,,284538240
6049.HK,保利物业,17,38.1617,32.7025,,31.45,553333400,153333400,3.98%," 17,402,335,430 "
2209.HK,喆丽控股,,,,,3.67,409215413,120447370,,1501820566
2210.HK,京城佳业,,,,,3.39,146667200,31534800,,497201808
2211.HK,大健康国际,,,2.2,,0.117,801059558,702927862,17.8034188,93723968.29
2212.HK,高鹏矿业,,,,,0.142,1053259200,794612200,,149562806.4
2215.HK,德信服务集团,,,4.27,,1.52,917881000,155117288,1.809210526,1395179120
2216.HK,堃博医疗-B,2,1.07,,,0.475,527198076,310125493,,250419086.1
2217.HK,谭仔国际,,1.4,1.4,,0.78,1346698490,346698490,0.794871795,1050424822
2218.HK,安德利果汁,,,,,8.22,349000000,68824000,,2868780000
2219.HK,朝聚眼科,3,4.66,4.66,,2.9,707526500,400662000,0.606896552,2051826850
2221.HK,创业集团控股,,0.359,,,0.08,1606132134,1519360134,,128490570.7
2222.HK,雷士国际,,0.081,0.081,0.081,0.92,507273677,150280100,-0.911956522,466691782.8
2223.HK,卡撒天娇,,0.18,0.18,0.18,0.315,257854000,107854000,-0.428571429,81224010
1988.HK,民生银行,1,3.1483,3.1483,2.85,3.03,43782418502,6544562486,3.90%," 132,660,728,061 "
2226.HK,老恒和酿造,,,4.35,,0.69,578750000,87486150,5.304347826,399337500
2227.HK,守益控股,,,,,0.088,915600000,276190286,,80572800
1896.HK,猫眼娱乐,11,9.179,9.175,11.1,8.86,1155432749,257702813,3.56%," 10,237,134,156 "
2230.HK,羚邦集团,,,,,0.17,1992000000,557760000,,338640000
2231.HK,景业名邦集团,,,,,0.32,1646173000,446173000,,526775360
9926.HK,康方生物,21,70.9965,75.6314,84.15,73.1,897557176,711311705,3.46%," 65,611,429,566 "
0467.HK,联合能源集团,1,0.3,0.3,,0.29,26040504786,992537556,3.45%," 7,551,746,388 "
2235.HK,微泰医疗-B,,5,,,4.78,421138000,139120486,,2013039640
2236.HK,惠生工程,,,,,0.184,4073767800,984985654,,749573275.2
2237.HK,中国石墨,,,,,0.355,1600000000,400000000,,568000000
6099.HK,招商证券,1,14.2014,15.3517,14.2,14.84,8696526806,912694780,3.45%," 129,056,457,801 "
2239.HK,国微控股,,,,,1.02,324931990,116840213,,331430629.8
0354.HK,中国软件国际,7,5.1522,5.4925,,5.47,2732079358,2259141932,0.41%," 14,944,474,088 "
2246.HK,快狗打车,,,,,0.49,628637572,391268995,,308032410.3
2250.HK,小黄鸭德盈,,,,,1.06,980993000,168746000,,1039852580
2251.HK,鹰瞳科技-B,1,13,,,11.88,103568013,26876643,,1230387994
6186.HK,中国飞鹤,10,5.0855,5.752,6.65,5.73,9067251704,4017994889,0.38%," 51,955,352,264 "
0694.HK,北京首都机场股份,4,2.9011,2.68,2.9,2.68,4579178977,1650261374,0.00%," 12,272,199,658 "
9658.HK,特海国际,13,15.775,16.3525,16.66,16.36,650299000,260303174,-0.05%," 10,638,891,640 "
2257.HK,圣诺医药-B,,72.1,72.1,,2.64,105166176,76284903,26.31060606,277638704.6
2258.HK,华滋国际海洋,,,,,0.2,825400000,262064444,,165080000
2260.HK,环龙控股,,2.6,,,1.59,483442000,123494800,,768672780
2262.HK,梁志天设计集团,,,,,0.38,1141401000,172905000,,433732380
2263.HK,富石金融,,,,,0.169,1000000000,250000000,,169000000
2265.HK,鸿承环保科技,,,,,0.84,1000000000,404500000,,840000000
2266.HK,黎氏企业,,,,,0.255,400000000,100000000,,102000000
0011.HK,恒生银行,1,85.9417,91.5,,92.45,1882267536,704669134,-1.03%," 174,015,633,703 "
0268.HK,金蝶国际,20,9.5079,8.635,4.26,8.76,3585934271,2912161647,-1.43%," 31,412,784,214 "
2270.HK,德商产投服务,,,,,1.12,620259200,247866200,,694690304
2271.HK,众安智慧生活,,,,,1.08,517414000,137414000,,558807120
6806.HK,申万宏源,1,2.4,2.4,3,2.44,25039944560,2504000000,-1.64%," 61,097,464,726 "
6069.HK,盛业,3,6.9833,7.125,,7.25,988407000,366441540,-1.72%," 7,165,950,750 "
2279.HK,雍禾医疗,,,,,0.84,525519416,180254164,,441436309.4
2280.HK,慧聪集团,,,,,0.17,1309931119,821992155,,222688290.2
2281.HK,兴泸水务,,,,,0.6,859710000,143790000,,515826000
0743.HK,亚洲水泥(中国),,2.2,2.2,2.2,2.24,1566851000,421989000,-1.79%," 3,509,746,240 "
2283.HK,东江集团控股,1,2.82,,2.82,1.85,833260000,183292000,,1541531000
9898.HK,微博-SW,8,65.645,72.2786,72.2786,73.65,243314778,79565695,-1.86%," 17,920,133,400 "
2286.HK,辰兴发展,,,,,0.28,599999989,188111989,,167999996.9
2288.HK,宏基资本,,,,,0.156,375447000,163465789,,58569732
2289.HK,创美药业,,,,,9.48,108000000,27000000,,1023840000
0670.HK,中国东方航空股份,5,2.4288,2.4288,1.85,2.48,22291296570,2459391777,-2.06%," 55,282,415,494 "
2292.HK,晋安实业,,,,,0.8,720000000,180000000,,576000000
2293.HK,百本医护,,0.482,0.482,,0.68,402460000,99596000,-0.291176471,273672800
2295.HK,丰城控股,,,,,2.9,400000000,100000000,,1160000000
2297.HK,润迈德-B,,,,,0.159,1167799000,501647000,,185680041
2298.HK,都市丽人,,0.26,,,0.255,2249457213,962747562,,573611589.3
0753.HK,中国国航,1,4.887,4.887,4.914,5.03,16593720146,2321885217,-2.84%," 83,466,412,334 "
2302.HK,中核国际,,13.3,13.3,13.3,1.6,489168308,162796035,7.3125,782669292.8
2306.HK,乐华娱乐,,,,,0.63,871881000,256956000,,549285030
2307.HK,锦兴国际控股,,,,,0.133,869919000,434319000,,115699227
2309.HK,大象未来集团,,0.823,,,2.86,815257419,263067600,,2331636218
2310.HK,时代环球集团,,,,,0.027,1092877195,274721181,,29507684.27
2312.HK,中国金融租赁,,,,,0.13,346897482,225634467,,45096672.66
1475.HK,日清食品,,4.9,4.9,,5.05,1043691480,226342480,-2.97%," 5,270,641,974 "
1055.HK,中国南方航空股份,,3.6667,3.6667,4.1,3.81,18120911504,1995161272,-3.76%," 69,040,672,830 "
2315.HK,百奥赛图-B,,16.25,,,5.84,399398420,64402040,,2332486773
2317.HK,味丹国际,,0.366,0.366,0.366,0.49,1522742000,502986000,-0.253061224,746143580
2778.HK,冠君产业信托,,1.6467,1.62,,1.69,6080814685,1815332619,-4.14%," 10,276,576,818 "
3650.HK,KEEP,4,8.2467,6.1,6.1,6.4,525671987,286897521,-4.69%," 3,364,300,717 "
2320.HK,合丰集团,,,,,0.1,817644000,255703607,,81764400
2321.HK,双财庄,,,,,0.39,1000150000,226035000,,390058500
1044.HK,恒安国际,6,29.9317,21.1,21.1,22.25,1162120917,589787353,-5.17%," 25,857,190,403 "
2323.HK,融科控股,,,,,0.016,2648000000,1512749710,,42368000
2324.HK,首都创投,,,,,0.215,450128249,2267986498,,96777573.54
0338.HK,上海石油化工股份,2,1.1,1.1,,1.16,10675227500,3495000000,-5.17%," 12,383,263,900 "
2326.HK,新源万恒控股,,0.03,,,0.01,21084072140,12828750000,,210840721.4
2327.HK,美瑞健康国际,,0.228,0.228,0.228,0.247,4093756636,1644793875,-0.076923077,1011157889
1833.HK,平安好医生,6,13.6733,14,,14.84,1118812900,580086800,-5.66%," 16,603,183,436 "
2329.HK,国瑞健康,,,,,0.112,4444417986,1034986416,,497774814.4
2330.HK,中国上城,,,,,0.1,316307457,143308526,,31630745.7
1797.HK,东方甄选,,11.3418,13.8667,14.9,14.72,1035289178,441666056,-5.80%," 15,239,456,700 "
9696.HK,天齐锂业,1,25.95,25.175,30.2,26.75,1641221583,164122200,-5.89%," 43,902,677,345 "
2336.HK,硕奥国际,,,,,0.103,1815910767,608703468,,187038809
2337.HK,众诚能源,,,,,1.73,374502000,137385160,,647888460
3896.HK,金山云,4,2.8,3.4,3.4,3.63,3805284801,343860575,-6.34%," 13,813,183,828 "
2339.HK,京西国际,,,,,0.15,861508602,272496496,,129226290.3
2340.HK,升柏控股,,0.24,0.24,0.24,0.22,424850000,199331367,0.090909091,93467000
2342.HK,京信通信,,0.95,0.95,0.95,0.95,2762612668,1856436129,0,2624482035
2238.HK,广汽集团,3,2.8938,2.7817,2.69,2.98,10320069818,2806412305,-6.65%," 30,753,808,058 "
2347.HK,友和集团,,0.9,0.9,0.9,0.61,499338000,150189357,0.475409836,304596180
2348.HK,东瑞制药,,1.258,1.258,1.258,1.2,1501769000,484056455,0.048333333,1802122800
2349.HK,中国城市基础设施,,,2.02,,0.055,3128278542,1285603432,35.72727273,172055319.8
2350.HK,数科集团,,,,,0.52,625000000,206250000,,325000000
2352.HK,东原仁知服务,,,,,6.7,66990867,17090867,,448838808.9
2355.HK,宝业集团,,,,,4.34,520628053,140710000,,2259525750
1798.HK,大唐新能源,2,1.98,1.8567,1.8,2,7273701000,2501071100,-7.16%," 14,547,402,000 "
9869.HK,海伦司,7,2.4467,2.37,,2.56,1265477524,404477524,-7.42%," 3,239,622,461 "
2358.HK,久融控股,,,,,0.014,5472000000,4325534000,,76608000
0023.HK,东亚银行,,9.4857,9.05,8.8,9.78,2630112083,1117101069,-7.46%," 25,722,496,172 "
2360.HK,优品360,,,,,1.67,1000000000,250000000,,1670000000
2361.HK,中康控股,,,,,4.45,451770000,134520000,,2010376500
6869.HK,长飞光纤光缆,,10.73,10.73,,11.62,757905108,171739000,-7.66%," 8,806,857,355 "
2363.HK,通达宏泰,,,,,0.33,204224073,154885981,,67393944.09
1478.HK,丘钛科技,6,5.33,5.5,6.4,5.96,1184538475,430867475,-7.72%," 7,059,849,311 "
2368.HK,鹰美,,,,,3.85,574180000,220557200,,2210593000
2369.HK,酷派集团,,,0.8,,0.06,16381007955,6885188455,12.33333333,982860477.3
2370.HK,力高健康生活,,,,,0.31,200000000,50000000,,62000000
2371.HK,创联控股,,,0.74,0.74,0.025,6752210578,3873480223,28.6,168805264.5
2372.HK,伟立控股,,,,,0.232,800000000,218000000,,185600000
1516.HK,融创服务,2,1.8375,1.6433,,1.79,3056844000,1546858734,-8.20%," 5,471,750,760 "
2376.HK,鲁商服务,,,,,1.4,133340000,23195000,,186676000
2377.HK,博奇环保,,0.582,,,0.89,1005720799,319426429,,895091511.1
1958.HK,北京汽车,1,2.09,2.05,2.25,2.24,8015338182,1754872500,-8.48%," 17,954,357,528 "
2158.HK,医渡科技,,5,5,5,5.47,1059527116,550634925,-8.59%," 5,795,613,325 "
2381.HK,蚬壳电业,,,,,0.102,2000000000,481991000,,204000000
2202.HK,万科企业,4,5.1677,5.8533,8.2,6.42,11930709471,2206512938,-8.83%," 76,595,154,804 "
2383.HK,TOM集团,,,,,0.48,3958510558,1005379650,,1900085068
2385.HK,读书郎,,6.82,,,6.6,352000000,132633564,,2323200000
0165.HK,中国光大控股,,4.74,4.74,,5.2,1685253712,700892505,-8.85%," 8,763,319,302 "
9992.HK,泡泡玛特,29,74.5444,81.825,105.55,89.85,1342943150,628483363,-8.93%," 120,663,442,027 "
2389.HK,北京健康,,,0.6,0.6,0.084,6058772027,3650252221,6.142857143,508936850.3
2390.HK,知乎-W,4,12,12,12,9.5,261951935,161351065,0.263157895,2488543383
0546.HK,阜丰集团,3,5.4038,4.295,,4.74,2520498037,1294220173,-9.39%," 11,947,160,695 "
2392.HK,玄武云,,1.62,,,0.88,560320500,154034100,,493082040
2393.HK,巨星医疗控股,,1.05,1.05,,0.069,2331590000,744934400,14.2173913,160879710
2399.HK,中国安储能源,,0.202,0.202,0.202,0.245,2987389000,2066943000,-0.175510204,731910305
3369.HK,秦港股份,,,1.75,,1.95,5587412000,785556500,-10.26%," 10,895,453,400 "
2291.HK,心泰医疗,1,16.15,16.15,,18.32,346749997,66749997,-11.84%," 6,352,459,945 "
2405.HK,力盟科技,,,,,2.5,800000000,116000000,,2000000000
2407.HK,高视医疗,1,15.6,,,10.74,147887869,49383415,,1588315713
2409.HK,洲际船务,,,,,4.08,500000000,151250000,,2040000000
0004.HK,九龙仓集团,1,21.0014,18.775,,21.35,3056027327,965795676,-12.06%," 65,246,183,431 "
2411.HK,百果园集团,5,2.35,,2.2,1.21,1588544000,932204323,,1922138240
2415.HK,梅斯健康,,,,,0.8,607170950,118578900,,485736760
2416.HK,易点云,,8,,,1.85,579050706,192646220,,1071243806
2418.HK,德银天下,,,,,1.3,2181436500,155485500,,2835867450
3698.HK,徽商银行,,1.955,1.955,,2.23,13889801211,2232885600,-12.33%," 30,974,256,701 "
2420.HK,子不语,,6.94,6.94,,4.5,500000000,166154318,0.542222222,2250000000
2421.HK,嘉创地产,,,,,0.58,505364800,138697300,,293111584
2422.HK,润歌互动,,,,,0.9,1500000000,794940000,,1350000000
2121.HK,创新奇智,3,5.24,5.055,5.055,5.78,565050738,164820653,-12.54%," 3,265,993,266 "
2425.HK,澳亚集团,,,,,1,700463112,222684296,,700463112
2427.HK,GUANZE MEDICAL,,,,,0.385,950000000,237900425,,365750000
9989.HK,海普瑞,,3.5,3.5,,4.02,1467296204,220094500,-12.94%," 5,898,530,740 "
2433.HK,中天湖南集团,,,,,0.141,576000000,309035000,,81216000
2436.HK,凌雄科技,,11,,,3.66,353259000,69851661,,1292927940
2438.HK,出门问问,,4.68,,,0.84,1505379334,405113686,,1264518641
2439.HK,中宝新材,,,,,0.26,1000000000,488096960,,260000000
2440.HK,濠暻科技,,,,,0.9,225000000,89660641,,202500000
2442.HK,怡俊集团控股,,,,,1.05,408000000,102000000,,428400000
1458.HK,周黑鸭,9,1.572,1.5,,1.73,2267985500,1007100360,-13.29%," 3,923,614,915 "
2448.HK,恒宇集团,,,,,0.09,290160000,997006600,,26114400
2450.HK,淮北绿金股份,,,,,1.74,264000000,66000000,,459360000
2451.HK,绿源集团控股,5,7.13,7.13,,6.28,426667000,141267000,0.135350318,2679468760
1772.HK,赣锋锂业,2,22.3044,21.702,25.3367,25.15,2017167779,200185800,-13.71%," 50,731,769,642 "
2455.HK,润华服务,,,,,0.6,300000000,108815300,,180000000
2457.HK,步阳国际,,,,,0.255,1000000000,194635000,,255000000
2458.HK,望尘科技控股,,,,,4,138000000,54638936,,552000000
2459.HK,升能集团,,,,,0.222,1140000000,280000000,,253080000
1033.HK,中石化油服,,0.56,0.56,,0.66,18979412033,2814246495,-15.15%," 12,526,411,942 "
3396.HK,联想控股,1,6.05,6.05,,7.26,2356230900,698040990,-16.67%," 17,106,236,334 "
2007.HK,碧桂园,,0.4,0.4,,0.485,27988507946,11612577685,-17.53%," 13,574,426,354 "
2477.HK,经纬天地,,,,,4.32,500000000,125000000,,2160000000
0345.HK,维他奶国际,,10.15,10.15,10.15,12.36,1073093978,621590334,-17.88%," 13,263,441,568 "
2400.HK,心动公司,13,22.9456,19,,23.9,490712955,263782106,-20.50%," 11,728,039,625 "
2481.HK,慧居科技,,,,,2.62,301600000,59940000,,790192000
2482.HK,维天运通,,,,,0.77,1393876104,137036485,,1073284600
2483.HK,K CASH集团,,,,,1.69,500000000,125000000,,845000000
2486.HK,普乐师集团控股,,,,,7.46,120701800,32473200,,900435428
2487.HK,科笛-B,5,14.75,,,7.76,319950581,70109675,,2482816509
2488.HK,元征科技,1,10.75,10.75,,6.82,415788100,178656600,0.576246334,2835674842
2489.HK,集海资源,,,,,0.86,2000000000,392000000,,1720000000
2299.HK,百宏实业,,3.672,3.672,,4.69,2115676000,198297192,-21.71%," 9,922,520,440 "
3360.HK,远东宏信,6,7.89,4.11,,5.25,4320075666,1264665222,-21.71%," 22,680,397,247 "
2496.HK,友芝友生物-B,,,,,4.59,193849200,48404059,,889767828
2497.HK,富景中国控股,,,,,1.01,500000000,151485707,,505000000
1385.HK,上海复旦,1,11.8,11.8,,15.28,819060400,284330000,-22.77%," 12,515,242,912 "
6837.HK,海通证券,,4.3483,5.2967,7.6,6.92,13064200000,2547079761,-23.46%," 90,404,264,000 "
2500.HK,启明医疗-B,,5.6,,,5.62,441011443,280856908,,2478484310
