,名称,评估机构数,wind一致预期（180天）,wind一致预期（90天）,wind一致预期（30天）,前收盘价,总股本,流通股本,pct_change, mk_cap 
1328.HK,金涌投资,,,,,0.061,12831797215,2798489298,,782739630.1
1329.HK,首创钜大,,,2.7,,0.79,1161584249,177092308,2.417721519,917651556.7
3606.HK,福耀玻璃,1,65.0833,65.25,45,52.35,2609743532,503569402,24.64%," 136,620,073,900 "
1332.HK,透云生物,,0.599,,,0.179,2805952149,1694527014,,502265434.7
1334.HK,瑞昌国际控股,,,,,0.89,500000000,143087474,,445000000
1335.HK,顺泰控股,,0.083,,,0.128,2434136166,347194002,,311569429.2
1336.HK,新华保险,7,29.6317,29.6317,33,23.8,3119546600,857307760,24.50%," 74,245,209,080 "
1338.HK,霸王集团,,0.5,0.5,0.5,0.052,3162440720,1261600720,8.615384615,164446917.4
1880.HK,中国中免,,62.8392,64.2856,61.87,51.65,2068859044,116383500,24.46%," 106,856,569,623 "
1340.HK,惠生国际,,,,,0.045,922838000,779707908,,41527710
1088.HK,中国神华,1,39.056,40.0575,40.68,32.2,19868519955,3174698451,24.40%," 639,766,342,551 "
1343.HK,伟源控股,,,,,0.073,1064000000,436000000,,77672000
1345.HK,上海先锋控股,,3.42,3.42,,2.34,1257447000,322591000,0.461538462,2942425980
1346.HK,利华控股集团,,,,,0.86,639100000,254518000,,549626000
1448.HK,福寿园,4,6.025,4.8,4.8,3.87,2319863422,1365021422,24.03%," 8,977,871,443 "
1348.HK,滉达富控股,,0.118,0.118,0.118,0.051,1474232000,777136000,1.31372549,75185832
1349.HK,复旦张江,,,,6.5,2.6,1036572100,115857440,,2695087460
1351.HK,辉煌明天,,,,,0.222,600000000,199802831,,133200000
1354.HK,经发物业,,,,,31.8,66666800,12275700,,2120004240
1355.HK,朸浚国际,,,,,0.173,538033708,143059127,,93079831.48
0168.HK,青岛啤酒股份,6,60.03,60.3653,59.505,48.7,1364196788,211601523,23.95%," 66,436,383,576 "
1358.HK,普华和顺,,1.06,1.06,,1.03,1533231098,422565273,0.029126214,1579228031
9899.HK,云音乐,10,128.385,146.25,,118,216615761,57386502,23.94%," 25,560,659,798 "
1360.HK,诺发集团,,,,,0.012,2054153277,1890318277,,24649839.32
3323.HK,中国建材,3,4.0088,4.1117,4.1,3.32,8434770662,3860161794,23.85%," 28,003,438,598 "
1362.HK,新龙移动,,,,,0.335,280000000,88642133,,93800000
1193.HK,华润燃气,12,33.0529,34.3357,37.05,27.8,2314012871,891713880,23.51%," 64,329,557,814 "
1370.HK,奥威控股,,,,,0.5,1635329892,453849892,,817664946
1371.HK,中国生态旅游,,,0.81,,0.171,154422109,76864327,3.736842105,26406180.64
1372.HK,中国碳中和,,,,,0.245,535800000,284630000,,131271000
1373.HK,国际家居零售,,,1.85,,1.07,724023000,270157000,0.728971963,774704610
1809.HK,浦林成山,2,9.43,9.43,9.43,7.64,637300000,99049000,23.43%," 4,868,972,000 "
1376.HK,RAFFLESINTERIOR,,,,,0.176,1000000000,490000000,,176000000
6826.HK,昊海生物科技,2,34.3,34.3,,27.8,234190295,40045300,23.38%," 6,510,490,201 "
1379.HK,温岭工量刃具,,,,,2.08,80000000,14020000,,166400000
